,rule,alpha,d_ini,level_3,n_cell,count,actual_run_num,mean_2,mean_3
63,0,0.4,0.75,mean,400,199.5,12.8425,0.7453947867903801,1.1041533633787992
64,0,0.4,0.8,mean,400,199.5,12.7325,0.7547058778685342,1.117454150726663
65,0,0.45,0.2,mean,400,199.5,8.71,0.48619721081960443,0.7170397197654185
66,0,0.45,0.25,mean,400,199.5,9.035,0.5451116092127297,0.8050473465049751
67,0,0.45,0.3,mean,400,199.5,9.425,0.5862454636920721,0.8665752457403891
68,0,0.45,0.35,mean,400,199.5,9.815,0.6189480376780403,0.915618905579598
69,0,0.45,0.4,mean,400,199.5,9.7475,0.6667451894233579,0.9862439229251008
70,0,0.45,0.45,mean,400,199.5,10.245,0.6778811325163916,1.003799464236879
71,0,0.45,0.5,mean,400,199.5,10.505,0.6977390923972746,1.0334254767979376
72,0,0.45,0.55,mean,400,199.5,10.45,0.7255349239966844,1.0743867391297939
73,0,0.45,0.6,mean,400,199.5,10.5625,0.7431083612514306,1.100221271796364
74,0,0.45,0.65,mean,400,199.5,10.7825,0.7401662102774006,1.0960495726342585
75,0,0.45,0.7,mean,400,199.5,10.9475,0.7459948042310591,1.1052912308154368
76,0,0.45,0.75,mean,400,199.5,11.0025,0.7521628097402416,1.1134678313904525
77,0,0.45,0.8,mean,400,199.5,11.2075,0.7436826878697324,1.100722363284428
78,0,0.5,0.2,mean,400,199.5,7.655,0.4923547799419139,0.7269136042202988
79,0,0.5,0.25,mean,400,199.5,8.15,0.541986366442573,0.8000271274623851
80,0,0.5,0.3,mean,400,199.5,8.1825,0.5916730162613161,0.8744680788717892
81,0,0.5,0.35,mean,400,199.5,8.51,0.6304743737423704,0.9319883719285074
82,0,0.5,0.4,mean,400,199.5,8.65,0.6649363607713927,0.9843995372475871
83,0,0.5,0.45,mean,400,199.5,8.815,0.691216084369605,1.0234716448208698
84,0,0.5,0.5,mean,400,199.5,8.875,0.7212043008574978,1.0688868622510208
85,0,0.5,0.55,mean,400,199.5,9.075,0.7327514325279597,1.0843907908041073
86,0,0.5,0.6,mean,400,199.5,9.4375,0.7328255342453711,1.0851956723923022
87,0,0.5,0.65,mean,400,199.5,9.3325,0.7502526576071132,1.1106881820172652
88,0,0.5,0.7,mean,400,199.5,9.475,0.7556893771074852,1.1193589500010361
89,0,0.5,0.75,mean,400,199.5,9.5625,0.7536898193028094,1.1161640601654168
90,0,0.5,0.8,mean,400,199.5,9.615,0.7493351100213772,1.1088448845479058
91,0,0.55,0.2,mean,400,199.5,6.765,0.5034825538348613,0.7437334143923233
92,0,0.55,0.25,mean,400,199.5,6.9775,0.5634224490336508,0.8320406270779127
93,0,0.55,0.3,mean,400,199.5,7.2525,0.6113439011034307,0.9034944852475408
94,0,0.55,0.35,mean,400,199.5,7.2975,0.652578674122057,0.9647854251470241
95,0,0.55,0.4,mean,400,199.5,7.67,0.674059271110818,0.9974956479086168
96,0,0.55,0.45,mean,400,199.5,7.75,0.704749162935406,1.0424571687419968
97,0,0.55,0.5,mean,400,199.5,7.7575,0.7292980036044874,1.0798900492131795
98,0,0.55,0.55,mean,400,199.5,8.0425,0.7398756307268297,1.0955750179808683
99,0,0.55,0.6,mean,400,199.5,8.0175,0.7555944506447007,1.1183771618620002
100,0,0.55,0.65,mean,400,199.5,8.2275,0.7591734056445695,1.1248139365454088
101,0,0.55,0.7,mean,400,199.5,8.3225,0.7568845394156226,1.120407802323174
102,0,0.55,0.75,mean,400,199.5,8.3875,0.7543028330049708,1.1169250366034749
103,0,0.55,0.8,mean,400,199.5,8.3825,0.7530745883244662,1.11461332844447
104,0,0.6,0.2,mean,400,199.5,5.8875,0.5213073339193489,0.7690707262548366
105,0,0.6,0.25,mean,400,199.5,6.215,0.5698145410205728,0.8426104040091874
106,0,0.6,0.3,mean,400,199.5,6.535,0.6095066040246571,0.901699176167792
107,0,0.6,0.35,mean,400,199.5,6.48,0.6683503431231572,0.9888285564879236
108,0,0.6,0.4,mean,400,199.5,6.6325,0.6954772677263824,1.028775134744996
109,0,0.6,0.45,mean,400,199.5,6.785,0.7181480682792118,1.0630108128487874
110,0,0.6,0.5,mean,400,199.5,7.0275,0.7288930709578623,1.0792897120983134
111,0,0.6,0.55,mean,400,199.5,7.0125,0.7569308037429413,1.1214919542372628
112,0,0.6,0.6,mean,400,199.5,7.2225,0.7558917441494697,1.1191604380657167
113,0,0.6,0.65,mean,400,199.5,7.1725,0.7692460447686804,1.1387620699130812
114,0,0.6,0.7,mean,400,199.5,7.1725,0.7732078417765098,1.1460457673791007
115,0,0.6,0.75,mean,400,199.5,7.3075,0.7622286239777707,1.1288976629309386
116,0,0.6,0.8,mean,400,199.5,7.3375,0.7539155251791451,1.1169219079325008
117,0,0.65,0.2,mean,400,199.5,5.2625,0.5391915790537802,0.7964902638627293
118,0,0.65,0.25,mean,400,199.5,5.48,0.5882377041532046,0.8688618637416075
119,0,0.65,0.3,mean,400,199.5,5.6525,0.6346897051648901,0.9386310554813878
120,0,0.65,0.35,mean,400,199.5,5.78,0.6748826530094182,0.9990735883837023
121,0,0.65,0.4,mean,400,199.5,5.8625,0.7147802447984877,1.0575972692036333
122,0,0.65,0.45,mean,400,199.5,6.065,0.7337369559987686,1.0858738032840667
123,0,0.65,0.5,mean,400,199.5,6.005,0.7645819262963678,1.1312940557483724
124,0,0.65,0.55,mean,400,199.5,6.1425,0.7707870786623565,1.142166845187214
125,0,0.65,0.6,mean,400,199.5,6.2925,0.7679501800775639,1.1372677162374039
126,0,0.65,0.65,mean,400,199.5,6.3925,0.7727438254054259,1.1450676356621177
127,0,0.65,0.7,mean,400,199.5,6.3575,0.7785406729812878,1.153230487204649
128,0,0.65,0.75,mean,400,199.5,6.4575,0.7667042886273997,1.1354392137666272
129,0,0.65,0.8,mean,400,199.5,6.545,0.7508975600647949,1.1109730230525692
130,0,0.7,0.2,mean,400,199.5,4.6,0.5565487034151915,0.8225166319232681
131,0,0.7,0.25,mean,400,199.5,4.8075,0.6116971615115872,0.9059309721348866
132,0,0.7,0.3,mean,400,199.5,4.935,0.6598962056066853,0.9767077411151461
133,0,0.7,0.35,mean,400,199.5,4.99,0.701843712172533,1.0390076739946839
134,0,0.7,0.4,mean,400,199.5,5.11,0.7379346213081354,1.0935581879248444
135,0,0.7,0.45,mean,400,199.5,5.3275,0.7526375106618393,1.1148890755589382
136,0,0.7,0.5,mean,400,199.5,5.47,0.7617265279485457,1.129011396554347
137,0,0.7,0.55,mean,400,199.5,5.4525,0.781812224640714,1.158422793060064
138,0,0.7,0.6,mean,400,199.5,5.465,0.7911267495581333,1.1723447668758005
139,0,0.7,0.65,mean,400,199.5,5.6025,0.7865181806535553,1.1662535762161967
140,0,0.7,0.7,mean,400,199.5,5.595,0.7912048412009166,1.1714240620298715
141,0,0.7,0.75,mean,400,199.5,5.74,0.7637632432126731,1.1308349673125793
142,0,0.7,0.8,mean,400,199.5,5.845,0.7351898342707603,1.0882544799408242
143,0,0.75,0.2,mean,400,199.5,3.9875,0.5823412580073885,0.8598338972324552
144,0,0.75,0.25,mean,400,199.5,4.345,0.6250519667310445,0.9243355231914822
145,0,0.75,0.3,mean,400,199.5,4.4025,0.6753812222109958,0.9994252733244318
146,0,0.75,0.35,mean,400,199.5,4.53,0.7143799850258703,1.0582694620311615
147,0,0.75,0.4,mean,400,199.5,4.6125,0.7422908391045087,1.09880665237743
148,0,0.75,0.45,mean,400,199.5,4.6425,0.7761328284795652,1.1504420737788152
149,0,0.75,0.5,mean,400,199.5,4.7775,0.785710048835606,1.1642676608800904
150,0,0.75,0.55,mean,400,199.5,4.9,0.7859424183118471,1.1640019939232358
151,0,0.75,0.6,mean,400,199.5,4.8325,0.8072259016405955,1.1963901432656345
152,0,0.75,0.65,mean,400,199.5,4.9475,0.7971092728047379,1.1807571705232156
153,0,0.75,0.7,mean,400,199.5,4.92,0.799642365230631,1.1843460033174893
154,0,0.75,0.75,mean,400,199.5,5.08,0.7656422834377454,1.1336585867158195
155,0,0.75,0.8,mean,400,199.5,5.1625,0.7327100458815282,1.0843681467748525
156,0,0.8,0.2,mean,400,199.5,3.5525,0.606436260521184,0.8956752704354227
157,0,0.8,0.25,mean,400,199.5,3.7425,0.6569749082773426,0.9721250986657312
158,0,0.8,0.3,mean,400,199.5,3.8425,0.7058668371736658,1.0458871317737062
159,0,0.8,0.35,mean,400,199.5,3.8775,0.761406457127905,1.1284719273616033
160,0,0.8,0.4,mean,400,199.5,4.0075,0.7758507919696328,1.1496428851959941
161,0,0.8,0.45,mean,400,199.5,4.0825,0.8052918205634622,1.1941976937613066
162,0,0.8,0.5,mean,400,199.5,4.075,0.8299195713262231,1.2301637897908864
163,0,0.8,0.55,mean,400,199.5,4.1625,0.8294487243018043,1.2298233350732044
164,0,0.8,0.6,mean,400,199.5,4.255,0.8255936891620277,1.2232233498919474
165,0,0.8,0.65,mean,400,199.5,4.335,0.8117373980290172,1.2029067447035042
166,0,0.8,0.7,mean,400,199.5,4.3625,0.796817758694577,1.1800885653130728
167,0,0.8,0.75,mean,400,199.5,4.455,0.773934572079516,1.1453174097908911
168,0,0.8,0.8,mean,400,199.5,4.4625,0.744873242654273,1.1015477249731613
169,0,0.85,0.2,mean,400,199.5,3.11,0.6381352728519117,0.9436956574641654
170,0,0.85,0.25,mean,400,199.5,3.21,0.7012808510013282,1.0383642356756055
171,0,0.85,0.3,mean,400,199.5,3.35,0.7426406913786404,1.1006905041655484
172,0,0.85,0.35,mean,400,199.5,3.4175,0.7845205137496859,1.16269306716374
173,0,0.85,0.4,mean,400,199.5,3.4625,0.8158955517982188,1.210063434535713
174,0,0.85,0.45,mean,400,199.5,3.5075,0.8382364707324288,1.243636878167574
175,0,0.85,0.5,mean,400,199.5,3.5975,0.8439312512887431,1.2517599749989599
176,0,0.85,0.55,mean,400,199.5,3.6125,0.8596269689254641,1.2737989576413355
177,0,0.85,0.6,mean,400,199.5,3.67,0.8548635910312388,1.2665719200464531
178,0,0.85,0.65,mean,400,199.5,3.7575,0.8307761440571028,1.2311280365773056
179,0,0.85,0.7,mean,400,199.5,3.7925,0.811440820054533,1.2014704565516774
180,0,0.85,0.75,mean,400,199.5,3.835,0.7840678759705626,1.1607572045191263
181,0,0.85,0.8,mean,400,199.5,3.91,0.7376675684485651,1.0910798414452225
182,0,0.9,0.2,mean,400,199.5,2.6125,0.6944623199668155,1.0281719223903594
183,0,0.9,0.25,mean,400,199.5,2.76,0.7579476402983609,1.121750212061356
184,0,0.9,0.3,mean,400,199.5,2.82,0.8139231507943068,1.2064032099262558
185,0,0.9,0.35,mean,400,199.5,2.8925,0.8510254578687523,1.262075608979076
186,0,0.9,0.4,mean,400,199.5,2.9875,0.8674659319274182,1.2875703047160547
187,0,0.9,0.45,mean,400,199.5,3.0725,0.8730691667508327,1.2958498670858136
188,0,0.9,0.5,mean,400,199.5,3.0775,0.8912725794819052,1.322130684124244
189,0,0.9,0.55,mean,400,199.5,3.07,0.89636831940455,1.3309018223848232
190,0,0.9,0.6,mean,400,199.5,3.1225,0.8841119894207168,1.3105497722323034
191,0,0.9,0.65,mean,400,199.5,3.1525,0.866653425905335,1.284850722513711
192,0,0.9,0.7,mean,400,199.5,3.225,0.8304118267305909,1.2301274052105762
193,0,0.9,0.75,mean,400,199.5,3.2275,0.795258561076341,1.1775715725754112
194,0,0.9,0.8,mean,400,199.5,3.26,0.7446934911413101,1.1009675798051892
